Address;Content Type;Status Code;Status;Indexability;Indexability Status;Title 1;Title 1 Length;Title 1 Pixel Width;Meta Description 1;Meta Description 1 Length;Meta Description 1 Pixel Width;Meta Keywords 1;Meta Keywords 1 Length;H1-1;H1-1 Length;H2-1;H2-1 Length;H2-2;H2-2 Length;Meta Robots 1;X-Robots-Tag 1;Meta Refresh 1;Canonical Link Element 1;"rel=""next"" 1";"rel=""prev"" 1";"HTTP rel=""next"" 1";"HTTP rel=""prev"" 1";amphtml Link Element;Size (bytes);Transferred (bytes);Word Count;Sentence Count;Average Words Per Sentence;Flesch Reading Ease Score;Readability;Text Ratio;Crawl Depth;Folder Depth;Link Score;Inlinks;Unique Inlinks;Unique JS Inlinks;% of Total;Outlinks;Unique Outlinks;Unique JS Outlinks;External Outlinks;Unique External Outlinks;Unique External JS Outlinks;Closest Similarity Match;No. Near Duplicates;Spelling Errors;Grammar Errors;Hash;Response Time;Last Modified;Redirect URL;Redirect Type;Cookies;HTTP Version;Clicks;Impressions;CTR;Position;URL Encoded Address;Crawl Timestamp
https://go2rinjani.com/legal/terms-and-conditions;;307;Temporary Redirect;Non-Indexable;Redirected;;0;0;;0;0;;0;;0;;0;;0;;;;;;;;;;0;0;0;;;;;0;1;1;;21;21;0;47.730;0;0;0;0;0;0;;;;;;290;;https://go2rinjani.com/legal/terms-and-conditions/;HTTP Redirect;;1.1;0;14;0;3.640;https://go2rinjani.com/legal/terms-and-conditions;2026-07-13 08:46:42
https://go2rinjani.com/_image?href=%2F_astro%2Fsummit-mount-rinjani-3726m.Da8YYjW5.avif&w=2000&h=1500&q=60&f=webp;image/webp;200;OK;Indexable;;;0;0;;0;0;;0;;0;;0;;0;;;;;;;;;;164162;164162;0;;;;;0;1;0;;0;0;0;0;0;0;0;0;0;0;;;;;;358;Mon, 13 Jul 2026 00:16:42 GMT;;;;1.1;;;;;https://go2rinjani.com/_image?href=%2F_astro%2Fsummit-mount-rinjani-3726m.Da8YYjW5.avif&w=2000&h=1500&q=60&f=webp;2026-07-13 08:46:42
https://go2rinjani.com/_astro/google-logo.Ch72s3qP.svg;image/svg+xml;200;OK;Indexable;;;0;0;;0;0;;0;;0;;0;;0;;;;;;;;;;0;0;0;;;;;0;1;1;;0;0;0;0;0;0;0;0;0;0;;;;;;85;;;;;1.1;;;;;https://go2rinjani.com/_astro/google-logo.Ch72s3qP.svg;2026-07-13 08:46:42
https://go2rinjani.com/legal/privacy-policy;;307;Temporary Redirect;Non-Indexable;Redirected;;0;0;;0;0;;0;;0;;0;;0;;;;;;;;;;0;0;0;;;;;0;1;1;;21;21;0;47.730;0;0;0;0;0;0;;;;;;296;;https://go2rinjani.com/legal/privacy-policy/;HTTP Redirect;;1.1;0;4;0;4.250;https://go2rinjani.com/legal/privacy-policy;2026-07-13 08:46:42
https://go2rinjani.com/_image?href=%2F_astro%2Fblank_profile_tripadvisor.SN-AFRdJ.jpg&w=36&h=36&f=webp;image/webp;200;OK;Indexable;;;0;0;;0;0;;0;;0;;0;;0;;;;;;;;;;2256;2256;0;;;;;0;1;0;;0;0;0;0;0;0;0;0;0;0;;;;;;140;Mon, 13 Jul 2026 00:16:42 GMT;;;;1.1;;;;;https://go2rinjani.com/_image?href=%2F_astro%2Fblank_profile_tripadvisor.SN-AFRdJ.jpg&w=36&h=36&f=webp;2026-07-13 08:46:43
https://go2rinjani.com/_image?href=%2F_astro%2Fplanning-your-first-mount-rinjani-trek.LLrGE1ZS.avif&w=600&h=450&q=55&f=webp;image/webp;200;OK;Indexable;;;0;0;;0;0;;0;;0;;0;;0;;;;;;;;;;29048;29048;0;;;;;0;1;0;;0;0;0;0;0;0;0;0;0;0;;;;;;341;Sun, 12 Jul 2026 04:10:40 GMT;;;;1.1;;;;;https://go2rinjani.com/_image?href=%2F_astro%2Fplanning-your-first-mount-rinjani-trek.LLrGE1ZS.avif&w=600&h=450&q=55&f=webp;2026-07-13 08:46:42
https://go2rinjani.com/payment-information;;307;Temporary Redirect;Non-Indexable;Redirected;;0;0;;0;0;;0;;0;;0;;0;;;;;;;;;;0;0;0;;;;;0;1;0;;18;17;0;38.640;0;0;0;0;0;0;;;;;;302;;https://go2rinjani.com/payment-information/;HTTP Redirect;;1.1;;;;;https://go2rinjani.com/payment-information;2026-07-13 08:46:43
https://go2rinjani.com/contact/;text/html;200;OK;Indexable;;Contact Go2Rinjani - Plan Your Mount Rinjani Trek;49;445;Get in touch with the Go2Rinjani team to plan your Mount Rinjani trek. We answer questions about routes, dates, group sizes, and custom packages.;145;914;;0;PLAN YOUR MOUNT RINJANI TREK - GET IN TOUCH;43;ANY QUESTION ABOUT RINJANI?;27;Stay Updated on Mount Rinjani;29;index, follow;;;https://go2rinjani.com/contact/;;;;;;58137;13238;162;49;3.306;91.202;Very Easy;6.989;2;1;;0;0;0;0;11;10;0;4;4;0;;;;;9db470318773a9a1806a6f2221cadfe3;88;;;;;1.1;0;28;0;4.070;https://go2rinjani.com/contact/;2026-07-13 08:46:43
https://go2rinjani.com/legal/cancellation-policy/;text/html;200;OK;Non-Indexable;Canonicalised;Cancellation & Refund Policy | Go2Rinjani;41;365;Understand your rights and options when cancelling or modifying a Go2Rinjani booking.;85;542;;0;Cancellation & Refund Policy;28;Cancellation by the Client;26;Force Majeure & Cancellation by Go2Rinjani;42;index, follow;;;https://go2rinjani.com/legal/cancellation-policy;;;;;;34510;9127;689;108;6.380;56.331;Fairly Hard;14.935;2;2;;1;1;0;2.270;6;6;0;1;1;0;;;;;3b757ffc81512b759287756d7dcb2e10;97;;;;;1.1;0;6;0;1.670;https://go2rinjani.com/legal/cancellation-policy/;2026-07-13 08:46:43
https://go2rinjani.com/blog/;text/html;200;OK;Indexable;;Mount Rinjani Trekking Blog — Guides, Tips & Trail Stories;58;513;Read Go2Rinjani's trekking blog for Mount Rinjani guides, packing tips, weather info, trail stories, and exclusive deals — written by certified local guides.;157;926;;0;Mount Rinjani Trekking Blog: Guides, Stories & Trail Insights;61;Trekking Smart on Mount Rinjani: A Beginner's Complete Guide;60;Stay Updated on Mount Rinjani;29;index, follow;;;https://go2rinjani.com/blog/;;;;;;36549;8928;97;14;6.929;68.106;Normal;3.721;2;1;;0;0;0;0;12;11;0;4;4;0;;;;;552a49d123f2da01d0d6bf8b5c46d1e2;86;;;;;1.1;0;15;0;3.130;https://go2rinjani.com/blog/;2026-07-13 08:46:44
https://go2rinjani.com/tours/;text/html;200;OK;Indexable;;Mount Rinjani Tour Packages — Treks, Summit & Lake | Go2Rinjani;63;592;Explore Mount Rinjani tour packages with Go2Rinjani — crater rim treks, summit climbs, Segara Anak lake descents, and Sembalun route expeditions. All levels welcome.;165;1033;;0;Mount Rinjani Tour Packages for Every Type of Trekker;53;Mount Rinjani Treks;19;Mount Stampol Trek — Your Best Alternative in Lombok;52;index, follow;;;https://go2rinjani.com/tours/;;;;;;50136;10513;167;20;8.350;58.542;Fairly Hard;3.576;2;1;;0;0;0;0;13;12;0;4;4;0;;;;;1bd410affd1d8745a41e1d7b957df957;76;;;;;1.1;0;74;0;45.580;https://go2rinjani.com/tours/;2026-07-13 08:46:44
https://go2rinjani.com/faq/;text/html;200;OK;Indexable;;Frequently Asked Questions about Mount Rinjani | Go2Rinjani;59;543;Everything you need to know before trekking Mount Rinjani — from altitude and access to safety, permits, and the best time to climb.;132;813;;0;Frequently Asked Questions about Mount Rinjani;46;(FAQ);5;Stay Updated on Mount Rinjani;29;index, follow;;;https://go2rinjani.com/faq/;;;;;;40961;9474;359;59;6.085;71.520;Fairly Easy;7.039;2;1;;0;0;0;0;11;10;0;4;4;0;;;;;34424aaa7682c25175655ace8394b390;264;;;;;1.1;0;3;0;8.000;https://go2rinjani.com/faq/;2026-07-13 08:46:44
https://go2rinjani.com/how-it-works/;text/html;200;OK;Indexable;;How it Works - Go2Rinjani;25;230;Transparency and simplicity are at the heart of our booking process. Learn how to book your Mount Rinjani trekking package in 6 easy steps.;139;867;;0;Easily Book and Secure Your Trip in Just a Few Steps;52;The Steps;9;Stay Updated on Mount Rinjani;29;index, follow;;;https://go2rinjani.com/how-it-works/;;;;;;40568;9813;445;76;5.855;72.756;Fairly Easy;8.312;2;1;;0;0;0;0;15;10;0;4;4;0;;;;;99ff486196b50cfa8ea0aedb857bda8e;274;;;;;1.1;0;15;0;2.000;https://go2rinjani.com/how-it-works/;2026-07-13 08:46:44
https://go2rinjani.com/blog/trekking-smart-on-mount-rinjani-your-complete-preparation-guide/;text/html;200;OK;Non-Indexable;Canonicalised;Trekking Smart on Mount Rinjani: Your Complete Preparation Guide;64;601;Everything you need to know to prepare for a successful Mount Rinjani trek.;75;466;;0;Trekking Smart on Mount Rinjani: Your Complete Preparation Guide;64;Trekking Packages;17;Essential Gear;14;index, follow;;;https://go2rinjani.com/blog/trekking-smart-on-mount-rinjani-your-complete-preparation-guide;;;;;;38011;9256;175;32;5.469;79.460;Fairly Easy;4.778;2;2;;0;0;0;0;11;10;0;4;4;0;;;;;79ded3c43d4819d8b41023f62480d68a;89;;;;;1.1;0;11;0;7.730;https://go2rinjani.com/blog/trekking-smart-on-mount-rinjani-your-complete-preparation-guide/;2026-07-13 08:46:44
https://go2rinjani.com/payment-information/;text/html;200;OK;Non-Indexable;Canonicalised;Payment Information | Go2Rinjani;32;300;Secure payment options for your Mount Rinjani trek — bank transfer, Wise, Revolut, and PayPal. Pay safely with Go2Rinjani.;122;760;;0;Payment Information;19;;0;;0;index, follow;;;https://go2rinjani.com/payment-information;;;;;;33273;7548;183;46;3.978;64.109;Normal;4.795;2;1;;0;0;0;0;1;1;0;0;0;0;;;;;336cee9df81d9889a0244f7a08eb41d8;73;;;;;1.1;;;;;https://go2rinjani.com/payment-information/;2026-07-13 08:46:44
